PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
468. Aleksei Kolosov,PHI,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$925,000","$925,000"
469. Drew Helleson,ANA,23,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
470. Yaroslav Askarov,NSH,22,G,Right,2,-,-,-,-,-,-,-,-,1,0,0,1.48,.943,,RFA,"$925,000","$925,000"
471. William Wallinder,DET,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
472. Ryan Ufko,NSH,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
473. Matthew Knies,TOR,21,"LW, RW",Left,80,15,20,35,0.44,9,115,0.13,13:40,-,-,-,-,-,,RFA,"$925,000","$925,000"
474. Sam Colangelo,ANA,22,RW,Right,3,1,0,1,0.33,0,7,0.14,12:33,-,-,-,-,-,,10.2(c),"$925,000","$925,000"
475. Josh Doan,UTA,22,RW,Right,11,5,4,9,0.82,6,23,0.22,12:18,-,-,-,-,-,,RFA,"$925,000","$925,000"
476. Joel Nyström,CAR,22,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
477. Xavier Bourgault,EDM,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
478. Matthew Coronato,CGY,21,RW,Right,34,3,6,9,0.26,-15,58,0.05,12:36,-,-,-,-,-,,10.2(c),"$925,000","$925,000"
479. Mackie Samoskevich,FLA,21,RW,Right,7,0,0,0,0.00,-3,11,0.00,12:02,-,-,-,-,-,,RFA,"$925,000","$925,000"
480. Corson Ceulemans,CBJ,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
481. Massimo Rizzo,PHI,23,"C, LW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
482. Brendan Brisson,VGK,22,"C, LW, RW",Left,15,2,6,8,0.53,-5,20,0.10,12:20,-,-,-,-,-,,RFA,"$925,000","$925,000"
483. Mason Lohrei,BOS,23,LD,Left,41,4,9,13,0.32,-2,43,0.09,16:57,-,-,-,-,-,,RFA,"$925,000","$925,000"
484. Shai Buium,DET,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
485. Jakub Dobes,MTL,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$925,000","$925,000"
486. Fedor Svechkov,NSH,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
487. Jack Peart,MIN,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
488. Oliver Kapanen,MTL,20,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
489. Georgi Merkulov,BOS,23,LW,Left,4,0,0,0,0.00,1,3,0.00,10:34,-,-,-,-,-,,RFA,"$925,000","$925,000"
490. Domenick Fensore,CAR,22,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
491. Marat Khusnutdinov,MIN,21,C,Left,16,1,3,4,0.25,-3,6,0.17,13:06,-,-,-,-,-,,RFA,"$925,000","$925,000"
492. Tristan Broz,PIT,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$925,000","$925,000"
493. Carson Rehkopf,SEA,19,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$923,333","$870,000"
494. Julian Lutz,UTA,20,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$923,333","$870,000"
495. Oscar Fisker Mølgaard,SEA,19,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$923,333","$870,000"
496. Lukas Dragicevic,SEA,19,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$923,333","$870,000"
497. Filip Bystedt,SJS,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
498. Nate Danielson,DET,19,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
499. Oliver Bonk,PHI,19,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
500. Pavel Mintyukov,ANA,20,LD,Left,63,4,24,28,0.44,-20,88,0.05,18:50,-,-,-,-,-,,RFA,"$918,333","$950,000"
501. Pavel Mintyukov,ANA,20,LD,Left,63,4,24,28,0.44,-20,88,0.05,18:50,-,-,-,-,-,,RFA,"$918,333","$950,000"
502. Jonathan Lekkerimäki,VAN,19,"RW, C",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
503. Dalibor Dvorsky,STL,19,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
504. Bradly Nadeau,CAR,19,LW,Right,1,0,0,0,0.00,-3,3,0.00,19:08,-,-,-,-,-,,RFA,"$918,333","$950,000"
505. Lian Bichsel,DAL,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
506. Tanner Molendyk,NSH,19,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
507. Colby Barlow,WPG,19,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
508. David Jiricek,CBJ,20,RD,Right,43,1,9,10,0.23,-4,38,0.03,14:35,-,-,-,-,-,,RFA,"$918,333","$950,000"
509. Simon Nemec,NJD,20,RD,Right,60,3,16,19,0.32,-7,73,0.04,19:51,-,-,-,-,-,,RFA,"$918,333","$950,000"
510. David Edstrom,SJS,19,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
511. Samuel Honzek,CGY,19,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
512. Eduard Sale,SEA,19,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
513. Quentin Musty,SJS,18,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$918,333","$950,000"
514. Kevin Korchinski,CHI,20,LD,Left,76,5,10,15,0.20,-39,93,0.05,19:36,-,-,-,-,-,,RFA,"$918,333","$950,000"
515. Scott Morrow,CAR,21,RD,Right,2,0,0,0,0.00,-3,6,0.00,18:23,-,-,-,-,-,,RFA,"$916,667","$925,000"
516. Tyler Kleven,OTT,22,LD,Left,9,0,1,1,0.11,-1,7,0.00,12:39,-,-,-,-,-,,10.2(c),"$916,667","$925,000"
517. Michael Benning,FLA,22,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,10.2(c),"$916,667","$925,000"
518. Wyatt Kaiser,CHI,21,LD,Left,32,0,7,7,0.22,0,18,0.00,17:18,-,-,-,-,-,,RFA,"$916,667","$925,000"
519. Charles-Alexis Legault,CAR,20,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$915,833","$870,000"
520. Denver Barkey,PHI,19,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$913,333","$870,000"
521. Luke Tuch,MTL,22,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$912,500","$900,000"
522. Landon Slaggert,CHI,22,LW,Left,16,1,3,4,0.25,1,14,0.07,11:15,-,-,-,-,-,,RFA,"$912,500","$925,000"
523. Georgi Romanov,SJS,24,G,Left,2,-,-,-,-,-,-,-,-,0,0,0,1.02,.967,,RFA,"$910,000","$950,000"
524. Anton Malmström,STL,24,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$910,000","$950,000"
525. John Farinacci,BOS,23,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$910,000","$950,000"
526. Kasper Halttunen,SJS,19,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$908,333","$920,000"
527. Jackson Blake,CAR,20,RW,Right,1,0,0,0,0.00,-2,2,0.00,15:18,-,-,-,-,-,,RFA,"$905,833","$925,000"
528. Carter Mazur,DET,22,LW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$905,833","$925,000"
529. Sean Behrens,COL,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$905,833","$867,500"
530. Zac Funk,WSH,20,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$905,000","$870,000"
531. Easton Cowan,TOR,19,"LW, C",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$904,667","$923,500"
532. Emil Andrae,PHI,22,LD,Left,4,0,0,0,0.00,-1,0,0.00,13:00,-,-,-,-,-,,RFA,"$903,333","$892,500"
533. William Strömgren,CGY,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$900,833","$892,500"
534. Michael McCarron,NSH,29,"RW, C",Right,70,12,10,22,0.31,4,94,0.13,12:46,-,-,-,-,-,,UFA,"$900,000","$900,000"
535. Paul Ludwinski,CHI,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$900,000","$895,000"
536. Alex Lyon,DET,31,G,Left,44,-,-,-,-,-,-,-,-,21,18,2,3.05,.904,,UFA,"$900,000","$900,000"
537. Matt Nieto,PIT,31,"LW, RW",Left,22,1,3,4,0.18,5,13,0.08,11:36,-,-,-,-,-,,UFA,"$900,000","$900,000"
538. Derek Ryan,EDM,37,"C, RW",Right,70,5,7,12,0.17,-3,52,0.10,10:11,-,-,-,-,-,,UFA,"$900,000","$900,000"
539. Matthew Stienburg,COL,23,"C, RW",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$898,750","$927,500"
540. Mikael Pyyhtiä,CBJ,22,C,Left,17,0,2,2,0.12,-5,22,0.00,13:09,-,-,-,-,-,,RFA,"$897,500","$925,000"
541. Sean Farrell,MTL,22,"RW, LW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,10.2(c),"$897,500","$925,000"
542. Ryker Evans,SEA,22,LD,Left,36,1,8,9,0.25,-5,44,0.02,19:10,-,-,-,-,-,,RFA,"$897,500","$925,000"
543. Emil Heineman,MTL,22,"LW, RW",Left,4,0,0,0,0.00,2,0,0.00,09:57,-,-,-,-,-,,RFA,"$897,500","$925,000"
544. Rasmus Kumpulainen,MIN,18,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$897,500","$870,000"
545. Adam Engström,MTL,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$896,667","$870,000"
546. Nico Myatovic,ANA,19,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$896,667","$870,000"
547. Andrew Gibson,DET,19,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$896,667","$870,000"
548. Nick Lardis,CHI,18,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$896,667","$870,000"
549. Ryan McAllister,FLA,22,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$896,667","$870,000"
550. Nikolai Kovalenko,COL,24,RW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$896,250","$867,500"
551. Antti Saarela,CHI,23,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$896,250","$925,000"
552. Aku Räty,UTA,22,C,Right,1,0,1,1,1.00,0,0,0.00,11:45,-,-,-,-,-,,RFA,"$896,250","$925,000"
553. Ryder Rolston,CHI,22,"C, LW, RW",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$895,000","$892,500"
554. Luca Cagnoni,SJS,19,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$895,000","$870,000"
555. Chaz Lucius,WPG,21,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$894,167","$925,000"
556. Mavrik Bourque,DAL,22,C,Right,1,0,0,0,0.00,0,2,0.00,10:56,-,-,-,-,-,,RFA,"$894,167","$832,500"
557. Wyatt Johnston,DAL,21,C,Right,82,32,33,65,0.79,14,216,0.15,17:00,-,-,-,-,-,,RFA,"$894,167","$832,500"
558. Mason McTavish,ANA,21,"C, LW",Left,64,19,23,42,0.66,-23,130,0.15,16:16,-,-,-,-,-,,RFA,"$894,167","$832,500"
559. Isak Rosén,BUF,21,RW,Left,7,0,0,0,0.00,-3,8,0.00,08:35,-,-,-,-,-,,RFA,"$894,167","$925,000"
560. Alexander Holtz,NJD,22,"RW, LW",Right,82,16,12,28,0.34,-15,122,0.13,11:38,-,-,-,-,-,,RFA,"$894,167","$832,500"
561. Roby Järventie,OTT,21,LW,Left,7,0,1,1,0.14,-5,5,0.00,07:31,-,-,-,-,-,,RFA,"$894,167","$832,500"
562. Shakir Mukhamadullin,SJS,22,LD,Left,3,0,1,1,0.33,0,5,0.00,21:09,-,-,-,-,-,,RFA,"$894,167","$832,500"
563. Simon Edvinsson,DET,21,LD,Left,16,1,1,2,0.13,0,13,0.08,18:15,-,-,-,-,-,,RFA,"$894,167","$925,000"
564. Dylan Guenther,UTA,21,"RW, LW",Right,45,18,17,35,0.78,-1,121,0.15,16:16,-,-,-,-,-,,RFA,"$894,167","$832,500"
565. Jagger Firkus,SEA,20,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$891,667","$870,000"
566. Niklas Kokko,SEA,20,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$891,667","$870,000"
567. David Goyette,SEA,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$891,667","$870,000"
568. Jani Nyman,SEA,19,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$891,667","$870,000"
569. Cayden Primeau,MTL,24,G,Left,23,-,-,-,-,-,-,-,-,8,9,2,2.99,.910,,RFA,"$890,000","$1,100,000"
570. Reid Schaefer,NSH,20,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$886,667","$950,000"
571. Owen Pickering,PIT,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$886,667","$950,000"
572. Shane Wright,SEA,20,C,Right,8,4,1,5,0.63,1,12,0.33,13:32,-,-,-,-,-,,RFA,"$886,667","$950,000"
573. Jiri Kulich,BUF,20,"C, LW",Left,1,0,0,0,0.00,-1,1,0.00,14:53,-,-,-,-,-,,RFA,"$886,667","$950,000"
574. Liam Öhgren,MIN,20,LW,Left,4,1,1,2,0.50,0,8,0.13,14:30,-,-,-,-,-,,RFA,"$886,667","$950,000"
575. Noah Östlund,BUF,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$886,667","$950,000"
576. Conor Geekie,UTA,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$886,667","$950,000"
577. Marco Kasper,DET,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$886,667","$950,000"
578. Matthew Savoie,BUF,20,C,Right,1,0,0,0,0.00,0,0,0.00,03:55,-,-,-,-,-,,RFA,"$886,667","$950,000"
579. Nathan Gaucher,ANA,20,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$886,667","$950,000"
580. Brad Lambert,WPG,20,"C, RW",Right,1,0,1,1,1.00,1,2,0.00,13:51,-,-,-,-,-,,RFA,"$886,667","$950,000"
581. Denton Mateychuk,CBJ,19,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$886,667","$950,000"
582. Filip Mesar,MTL,20,"RW, C",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$886,667","$950,000"
583. Joakim Kemell,NSH,20,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$886,667","$950,000"
584. Joel Blomqvist,PIT,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$886,667","$867,500"
585. Maveric Lamoureux,UTA,20,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$886,667","$950,000"
586. Travis Mitchell,NYI,24,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$882,500","$895,000"
587. Carson Bjarnason,PHI,19,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$881,667","$870,000"
588. Joshua Lopina,ANA,23,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$878,333","$925,000"
589. Elmer Söderblom,DET,22,"LW, C",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$878,333","$925,000"
590. Martin Misiak,CHI,19,RW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$878,333","$870,000"
591. Luca Pinelli,CBJ,19,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$878,333","$870,000"
592. Calle Clang,ANA,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$878,333","$925,000"
593. Damian Clara,ANA,19,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$878,333","$870,000"
594. Christian Kyrou,DAL,20,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$878,333","$870,000"
595. Tristan Bertucci,DAL,18,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$878,333","$870,000"
596. Nikita Chibrikov,WPG,21,RW,Left,1,1,0,1,1.00,0,3,0.33,11:03,-,-,-,-,-,,RFA,"$875,833","$867,500"
597. Logan Mailloux,MTL,21,RD,Right,1,0,1,1,1.00,1,2,0.00,21:14,-,-,-,-,-,,RFA,"$875,000","$925,000"
598. Samuel Hlavaj,MIN,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$875,000","$870,000"
599. Cade Webber,TOR,23,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,10.2(c),"$875,000","$875,000"
600. Jacob Quillan,TOR,22,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$875,000","$875,000"
601. Cade Webber,TOR,23,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,10.2(c),"$875,000","$875,000"
602. Alex Laferriere,LAK,22,RW,Right,81,12,11,23,0.28,-14,147,0.08,13:13,-,-,-,-,-,,RFA,"$875,000","$875,000"
603. Isaac Belliveau,PIT,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$875,000","$875,000"
604. Andrew Cristall,WSH,19,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$873,333","$870,000"
605. Lleyton Roed,SEA,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
606. Tristen Nielsen,VAN,24,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
607. Justin Hryckowian,DAL,23,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
608. Arttu Hyry,DAL,23,"RW, C",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
609. Juraj Pekarcik,STL,18,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
610. Christian Felton,VAN,24,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
611. Christoffer Sedoff,VGK,22,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
612. Logan Morrison,SEA,21,C,Right,4,0,0,0,0.00,-1,6,0.00,13:08,-,-,-,-,-,,RFA,"$870,000","$870,000"
613. Cam Thiesing,NYI,23,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
614. Vittorio Mancini,NYR,22,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
615. Milo Roelens,TBL,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
616. Tomas Suchanek,ANA,21,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$870,000","$870,000"
617. Dyllan Gill,TBL,20,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
618. Ondrej Pavel,COL,23,"C, LW, RW",Left,2,0,0,0,0.00,-1,3,0.00,06:06,-,-,-,-,-,,RFA,"$870,000","$870,000"
619. Luke Toporowski,MIN,23,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
620. Marcus Sylvegård,STL,25,"RW, LW",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
621. Alexandre Doucet,DET,22,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
622. Matthew Maggio,NYI,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
623. Jakub Rychlovský,DET,22,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
624. Connor Punnett,DAL,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
625. James Stefan,EDM,20,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
626. Ty Mueller,VAN,21,"C, LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
627. Max Sasson,VAN,23,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
628. Aidan Fulp,NYI,24,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
629. Emil Martinsen Lilleberg,TBL,23,LD,Left,37,0,5,5,0.14,-15,31,0.00,16:12,-,-,-,-,-,,RFA,"$870,000","$870,000"
630. Sam Morton,CGY,24,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
631. Viktor Neuchev,BUF,20,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
632. Oliver Okuliar,FLA,24,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
633. Tyler Brennan,NJD,20,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$870,000","$870,000"
634. Matthew Poitras,BOS,20,C,Right,33,5,10,15,0.45,4,40,0.13,13:23,-,-,-,-,-,,RFA,"$870,000","$870,000"
635. Victor Östman,SEA,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$870,000","$870,000"
636. Jakub Dvorak,LAK,19,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$900,000"
637. Wilmer Skoog,FLA,24,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
638. Jere Innala,COL,26,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$870,000","$870,000"
639. Tucker Robertson,SEA,21,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
640. Dylan Wendt,NJD,23,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
641. Samuel Johannesson,STL,23,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
642. Aleksanteri Kaskimäki,STL,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
643. Kyle McDonald,DAL,22,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
644. Luke Krys,DAL,23,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
645. Gabriel Szturc,TBL,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
646. Jesse Nurmi,NYI,19,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
647. Pierrick Dubé,WSH,23,RW,Right,3,0,0,0,0.00,1,3,0.00,09:19,-,-,-,-,-,,RFA,"$870,000","$870,000"
648. Jaxon Nelson,BOS,24,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$870,000","$870,000"
649. Waltteri Ignatjew,CGY,24,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$870,000","$870,000"
650. Brett Berard,NYR,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
651. Maxim Groshev,TBL,22,"RW, LW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
652. Jakub Málek,NJD,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$867,500","$867,500"
653. Jaroslav Chmelar,NYR,20,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
654. Jayden Struble,MTL,22,LD,Left,56,3,7,10,0.18,-3,47,0.06,16:06,-,-,-,-,-,,RFA,"$867,500","$867,500"
655. Drew Bavaro,BOS,24,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
656. Nikita Novikov,BUF,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
657. Daniel Torgersson,WPG,22,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$892,500"
658. Parker Ford,WPG,23,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
659. Antti Tuomisto,DET,23,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
