PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
362. Ryan Donato,CHI,28,"LW, C, RW",Left,78,12,18,30,0.38,-14,149,0.08,13:59,-,-,-,-,-,,UFA,"$2,000,000","$2,000,000"
363. Klim Kostin,SJS,25,"LW, RW",Left,52,8,6,14,0.27,-12,43,0.19,10:54,-,-,-,-,-,,RFA,"$2,000,000","$2,200,000"
364. Noel Acciari,PIT,32,"C, RW",Right,55,4,3,7,0.13,-7,59,0.07,12:58,-,-,-,-,-,M-NTC,UFA,"$2,000,000","$2,000,000"
365. Morgan Geekie,BOS,25,"C, RW",Right,76,17,22,39,0.51,6,130,0.13,15:24,-,-,-,-,-,,RFA,"$2,000,000","$2,000,000"
366. Vladislav Namestnikov,WPG,31,"LW, RW, C",Left,78,11,26,37,0.47,17,95,0.12,14:27,-,-,-,-,-,,UFA,"$2,000,000","$2,000,000"
367. Marcus Johansson,MIN,33,"LW, RW",Left,78,11,19,30,0.38,-15,112,0.10,15:53,-,-,-,-,-,NTC,UFA,"$2,000,000","$2,000,000"
368. Jérémy Lauzon,NSH,27,LD/RD,Left,79,6,8,14,0.18,-3,103,0.06,18:36,-,-,-,-,-,,UFA,"$2,000,000","$2,000,000"
369. Pyotr Kochetkov,CAR,25,G,Left,42,-,-,-,-,-,-,-,-,23,13,4,2.33,.911,,UFA,"$2,000,000","$1,750,000"
370. Connor Ingram,UTA,27,G,Left,50,-,-,-,-,-,-,-,-,23,21,6,2.91,.907,,UFA,"$1,950,000","$1,950,000"
371. Brett Howden,VGK,26,"C, LW",Left,72,8,11,19,0.26,-11,76,0.11,13:13,-,-,-,-,-,,UFA,"$1,900,000","$1,650,000"
372. Sonny Milano,WSH,28,"LW, RW",Left,49,15,8,23,0.47,4,50,0.30,12:30,-,-,-,-,-,,UFA,"$1,900,000","$1,900,000"
373. Ryan Poehling,PHI,25,"C, LW",Left,77,11,17,28,0.36,-11,111,0.10,14:59,-,-,-,-,-,,UFA,"$1,900,000","$1,900,000"
374. Nicolas Deslauriers,PHI,33,"LW, RW",Left,60,1,3,4,0.07,-7,49,0.02,08:08,-,-,-,-,-,,UFA,"$1,750,000","$1,500,000"
375. Jake Evans,MTL,28,C,Right,82,7,21,28,0.34,-1,81,0.09,16:01,-,-,-,-,-,,UFA,"$1,700,000","$1,700,000"
376. Pius Suter,VAN,28,"C, LW",Left,67,14,15,29,0.43,17,105,0.13,15:29,-,-,-,-,-,,UFA,"$1,600,000","$1,600,000"
377. Cam York,PHI,23,LD/RD,Left,82,10,20,30,0.37,-13,134,0.07,22:37,-,-,-,-,-,,RFA,"$1,600,000","$1,600,000"
378. Jack McBain,UTA,24,"C, LW",Left,67,8,18,26,0.39,8,56,0.14,12:37,-,-,-,-,-,,RFA,"$1,599,999","$1,599,999"
379. Oskar Sundqvist,STL,30,"RW, C",Right,71,6,15,21,0.30,-6,68,0.09,13:14,-,-,-,-,-,,UFA,"$1,500,000","$1,500,000"
380. Fabian Zetterlund,SJS,24,RW,Right,82,24,20,44,0.54,-34,204,0.12,18:51,-,-,-,-,-,,RFA,"$1,450,000","$1,500,000"
381. Samuel Ersson,PHI,24,G,Left,51,-,-,-,-,-,-,-,-,23,19,4,2.82,.890,,RFA,"$1,450,000","$1,300,000"
382. Keegan Kolesar,VGK,27,RW,Right,79,8,10,18,0.23,-8,73,0.11,10:51,-,-,-,-,-,,UFA,"$1,400,000","$1,400,000"
383. Jordan Harris,MTL,23,LD/RD,Left,56,3,11,14,0.25,-5,43,0.07,17:28,-,-,-,-,-,,RFA,"$1,400,000","$1,400,000"
384. Dylan Samberg,WPG,25,LD,Left,78,1,17,18,0.23,16,77,0.01,15:37,-,-,-,-,-,,RFA,"$1,400,000","$1,500,000"
385. Nathan Bastian,NJD,26,RW,Right,54,5,7,12,0.22,-10,57,0.09,10:09,-,-,-,-,-,,UFA,"$1,350,000","$1,350,000"
386. Simon Benoit,TOR,25,LD,Left,64,1,4,5,0.08,7,52,0.02,17:13,-,-,-,-,-,,UFA,"$1,350,000","$1,350,000"
387. Ryan Reaves,TOR,37,RW,Right,49,4,2,6,0.12,-13,26,0.15,08:06,-,-,-,-,-,,UFA,"$1,350,000","$1,350,000"
388. Bobby McMann,TOR,28,"RW, LW",Left,56,15,9,24,0.43,13,118,0.13,11:33,-,-,-,-,-,,UFA,"$1,350,000","$1,350,000"
389. Morgan Barron,WPG,25,"LW, RW",Left,80,11,7,18,0.23,10,94,0.12,10:29,-,-,-,-,-,,RFA,"$1,350,000","$1,400,000"
390. Kevin Rooney,CGY,31,C,Left,33,3,1,4,0.12,-4,27,0.11,11:12,-,-,-,-,-,,UFA,"$1,300,000","$1,300,000"
391. Nic Dowd,WSH,34,C,Right,64,12,10,22,0.34,-2,61,0.20,15:12,-,-,-,-,-,,UFA,"$1,300,000","$1,000,000"
392. Jonathan Quick,NYR,38,G,Left,27,-,-,-,-,-,-,-,-,18,6,2,2.62,.911,M-NTC,UFA,"$1,275,000","$1,275,000"
393. Nikolai Knyzhov,SJS,26,LD/RD,Left,10,0,1,1,0.10,-6,6,0.00,17:38,-,-,-,-,-,,UFA,"$1,250,000","$1,400,000"
394. Alexey Toropchenko,STL,25,"LW, RW",Left,82,14,7,21,0.26,-3,114,0.12,12:31,-,-,-,-,-,,RFA,"$1,250,000","$1,250,000"
395. Zach Bogosian,MIN,33,RD,Right,65,3,11,14,0.22,11,83,0.04,17:53,-,-,-,-,-,,UFA,"$1,250,000","$1,250,000"
396. Matthew Benning,SJS,30,RD,Right,14,0,2,2,0.14,-5,13,0.00,18:28,-,-,-,-,-,,UFA,"$1,250,000","$1,250,000"
397. Daniil Miromanov,CGY,26,RD,Right,24,3,4,7,0.29,-2,46,0.07,20:43,-,-,-,-,-,,UFA,"$1,250,000","$1,250,000"
398. Jon Merrill,MIN,32,LD,Left,65,4,7,11,0.17,0,42,0.10,12:46,-,-,-,-,-,,UFA,"$1,200,000","$1,200,000"
399. Joey Daccord,SEA,27,G,Left,50,-,-,-,-,-,-,-,-,19,18,3,2.46,.916,,UFA,"$1,200,000","$1,200,000"
400. Lukas Reichel,CHI,22,"LW, C",Left,65,5,11,16,0.25,-29,84,0.06,14:06,-,-,-,-,-,,RFA,"$1,200,000","$1,100,000"
401. Scott Perunovich,STL,25,LD,Left,54,0,17,17,0.31,1,36,0.00,15:16,-,-,-,-,-,,RFA,"$1,150,000","$1,150,000"
402. Kurtis MacDermid,NJD,30,"LD/RD, LW",Left,45,2,1,3,0.07,4,16,0.13,04:49,-,-,-,-,-,,UFA,"$1,150,000","$1,250,000"
403. Nick Perbix,TBL,26,RD,Right,77,2,22,24,0.31,8,57,0.04,17:04,-,-,-,-,-,,UFA,"$1,125,000","$1,125,000"
404. Justin Danforth,CBJ,31,"RW, C",Right,71,10,16,26,0.37,-10,86,0.12,14:16,-,-,-,-,-,,UFA,"$1,100,000","$1,100,000"
405. Rafaël Harvey-Pinard,MTL,25,"LW, RW",Left,45,2,8,10,0.22,-2,26,0.08,12:38,-,-,-,-,-,,RFA,"$1,100,000","$1,000,000"
406. Nils Höglander,VAN,23,"LW, RW",Left,80,24,12,36,0.45,23,120,0.20,12:06,-,-,-,-,-,,RFA,"$1,100,000","$1,200,000"
407. Kyle Burroughs,SJS,28,LD/RD,Right,73,2,6,8,0.11,-42,79,0.03,19:08,-,-,-,-,-,,UFA,"$1,100,000","$1,100,000"
