player,team,age,position,contract_status,cap_hit,signing_year,expiry_status
Markus Niemeläinen,EDM,26,LD,Left,0,0,0
Daniel Renouf,BOS,30,LD,Left,0,0,0
Lucas Johansen,WSH,26,LD,Left,6,0,1
Cooper Marody,PHI,27,"C, RW",Right,0,0,0
Sheldon Rempal,VGK,28,"LW, RW",Right,9,2,1
Sheldon Dries,VAN,30,C,Left,0,0,0
Roland McKeown,NSH,28,RD,Right,0,0,0
Greg McKegg,EDM,32,"C, LW",Left,0,0,0
Nicolas Petan,NYR,29,"C, LW, RW",Left,6,0,2
Chase De Leo,ANA,28,"C, LW, RW",Left,0,0,0
Byron Froese,VGK,33,C,Right,16,0,1
Michael Amadio,VGK,28,"RW, LW",Right,73,14,13
Adam Brooks,PHI,28,C,Left,0,0,0
Colton White,ANA,27,LD,Left,0,0,0
Cameron Hughes,SEA,27,"C, LW",Left,0,0,0
Tyce Thompson,NYI,24,RW,Right,0,0,0
Matt Kiersted,FLA,26,LD,Left,0,0,0
Jaycob Megna,CHI,31,LD,Left,44,0,2
Taylor Fedun,PIT,36,RD,Right,0,0,0
Tanner Laczynski,PHI,27,"RW, C",Right,0,0,0
Jordan Gross,NSH,29,RD,Right,0,0,0
Brad Hunt,COL,35,LD/RD,Left,0,0,0
Turner Elson,MIN,31,LW,Left,0,0,0
Calvin Pickard,EDM,32,G,Left,23,-,-
Ken Appleby,NYI,29,G,Left,1,-,-
Steven Fogarty,MIN,31,"C, RW",Right,0,0,0
Paul LaDue,NYI,31,RD,Right,0,0,0
Glenn Gawdin,ANA,27,"C, RW",Right,1,0,0
Calle Rosén,STL,30,LD,Left,6,0,1
Jeff Malott,WPG,27,LW,Left,0,0,0
Stefan Noesen,CAR,31,"LW, RW",Right,81,14,23
Matthew Peca,STL,31,"LW, C",Left,0,0,0
Haydn Fleury,TBL,27,LD/RD,Left,24,1,4
Dennis Gilbert,CGY,27,LD,Left,34,1,6
Will Bitten,STL,25,"RW, C",Right,0,0,0
AJ Greer,CGY,27,"RW, LW",Left,59,6,6
Vincent Desharnais,EDM,28,RD,Right,78,1,10
Max McCormick,SEA,32,LW,Left,1,0,0
Kevin Connauton,LAK,34,LD/RD,Left,0,0,0
Brendan Gaunce,CBJ,30,"LW, C",Left,24,2,2
Kyle Capobianco,WPG,26,LD,Left,0,0,0
Beck Malenstyn,WSH,26,"C, LW",Left,81,6,15
Dennis Cholowski,NYI,26,LD,Left,0,0,0
Jack Studnicka,SJS,25,"RW, C",Right,22,1,0
Tyler Wotherspoon,NJD,31,LD,Left,0,0,0
Chris Wideman,MTL,34,RD,Right,0,0,0
Austin Czarnik,DET,31,"C, RW",Right,34,0,1
Andrew Poturalski,SEA,30,C,Right,2,0,0
Spencer Smallman,COL,27,RW,Right,0,0,0
Liam Foudy,NSH,24,"LW, C",Left,13,0,3
Jacob MacDonald,SJS,31,LD/RD,Left,34,7,2
Brandon Biro,BUF,26,LW,Left,5,2,0
Kyle Clifford,TOR,33,LW,Left,0,0,0
Arnaud Durandeau,MTL,25,LW,Left,0,0,0
Parker Kelly,OTT,25,LW,Left,80,8,10
David Gust,CHI,30,RW,Right,0,0,0
Billy Sweezey,CBJ,28,RD,Right,0,0,0
Taylor Raddysh,CHI,26,RW,Right,73,5,9
Jet Greaves,CBJ,23,G,Left,9,-,-
Alex Barré-Boulet,TBL,27,"RW, LW",Left,36,6,3
Boris Katchouk,OTT,26,LW,Left,59,7,6
