player,team,age,position,contract_status,cap_hit,signing_year,expiry_status
Max Jones,ANA,26,"LW, RW",Left,52,5,10
Joshua Brown,UTA,30,RD,Right,51,3,7
Jarred Tinordi,CHI,32,LD,Left,52,0,9
Nicolas Aubé-Kubel,WSH,28,RW,Right,60,6,10
Colin Blackwell,CHI,31,"C, RW",Right,44,8,4
Sam Lafferty,CHI,29,"RW, C, LW",Right,79,13,11
Jakub Zboril,CBJ,27,LD/RD,Left,0,0,0
Christian Fischer,DET,27,"RW, LW",Right,79,5,14
Marc Staal,PHI,37,LD,Left,35,1,4
Rem Pitlick,CHI,27,"LW, RW",Left,9,0,0
Nick Cousins,FLA,30,"LW, C",Left,69,7,8
Filip Zadina,SJS,24,"RW, LW",Left,72,13,10
Troy Stecher,EDM,30,RD,Right,54,1,6
Anthony Stolarz,FLA,30,G,Left,27,-,-
Brendan Smith,NJD,35,"LD/RD, LW",Left,63,5,10
Brandon Duhaime,COL,27,"RW, LW",Left,80,5,8
Steven Lorentz,FLA,28,"C, LW, RW",Left,38,1,2
Kevin Shattenkirk,BOS,35,RD,Right,61,6,18
Cam Talbot,LAK,36,G,Left,54,-,-
Craig Smith,DAL,34,RW,Right,75,11,9
Mattias Janmark,EDM,31,"LW, RW",Left,71,4,8
Dmitry Kulikov,FLA,33,LD/RD,Left,76,1,19
Scott Wedgewood,DAL,31,G,Left,32,-,-
Patrick Maroon,BOS,36,"LW, RW",Left,51,4,12
James van Riemsdyk,BOS,35,"LW, RW",Left,71,11,27
Kevin Stenlund,FLA,27,"C, RW",Right,81,11,4
Juuso Välimäki,UTA,25,LD,Left,68,2,15
Tomas Nosek,NJD,31,"LW, C",Left,36,2,4
Milan Lucic,BOS,36,"LW, RW",Left,4,0,2
Mike Reilly,NYI,30,LD,Left,61,6,18
Logan Stanley,WPG,26,LD,Left,25,1,1
Samuel Blais,STL,28,"LW, RW",Left,53,1,6
Gustav Lindström,ANA,25,RD,Right,46,3,7
Andre Heim,-,26,"C, RW, LW",Left,0,0,0
Robert Bortuzzo,NYI,35,RD,Right,27,0,0
Jack Drury,CAR,24,C,Left,74,8,19
Michael Kesselring,UTA,24,RD,Right,65,5,16
Kirill Marchenko,CBJ,23,RW,Right,78,23,19
Spencer Stastney,NSH,24,LD,Left,20,2,2
Nikita Nesterenko,ANA,22,C,Left,3,1,0
Corey Andonovski,PIT,25,RW,Right,0,0,0
Lucas Raymond,DET,22,"RW, LW",Right,82,31,41
Vladislav Firstov,-,23,LW,Left,0,0,0
Jonatan Berggren,DET,23,"RW, LW",Left,12,2,4
Ivan Morozov,VGK,24,C,Right,0,0,0
Justin Barron,MTL,22,RD,Right,48,7,6
Braden Schneider,NYR,22,RD,Right,82,5,14
Anton Lundell,FLA,22,"C, LW",Left,78,13,22
Cole Sillinger,CBJ,21,C,Left,77,13,19
Curtis Hall,BOS,24,C,Right,0,0,0
Bobby Brink,PHI,22,RW,Right,57,11,12
Jackson LaCombe,ANA,23,LD/RD,Left,71,2,15
Aidan McDonough,VAN,24,LW,Left,0,0,0
Kent Johnson,CBJ,21,"LW, C",Left,42,6,10
Jordan Oesterle,CGY,32,LD/RD,Left,22,0,2
Nils Lundkvist,DAL,23,RD,Right,59,2,17
Dylan Holloway,EDM,22,"LW, C",Left,38,6,3
Mads Søgaard,OTT,23,G,Left,6,-,-
Bobby Trivigno,NYR,25,LW,Left,0,0,0
Josh Mahura,FLA,26,LD/RD,Left,30,0,9
Carter Savoie,EDM,22,LW,Left,0,0,0
Filip Roos,CHI,25,LD,Left,4,0,0
Will Zmolek,PHI,25,LD,Left,0,0,0
Thomas Bordeleau,SJS,22,"C, LW",Left,27,6,5
Henry Thrun,SJS,23,LD,Left,51,3,8
Ty Dellandrea,SJS,23,RW,Right,42,2,7
Emil Bemström,PIT,25,"RW, LW",Right,56,8,8
Layton Ahac,VGK,23,LD,Left,0,0,0
Mack Guzda,FLA,23,G,Left,0,-,-
Matthew Beniers,SEA,21,C,Left,77,15,22
Quinton Byfield,LAK,21,"LW, C",Left,80,20,35
Adam Beckman,NJD,23,LW,Left,11,0,2
Arthur Kaliyev,LAK,23,"RW, LW",Left,51,7,8
Dawson Mercer,NJD,22,"RW, C",Right,82,20,13
Seth Jarvis,CAR,22,RW,Right,81,33,34
Cole Perfetti,WPG,22,"LW, C",Left,71,19,19
Moser,UTA,24,LD/RD,Left,80,5,21
Filip Johansson,VAN,24,RD,Right,0,0,0
Blake McLaughlin,ANA,24,LW,Left,0,0,0
Michael Callahan,BOS,24,LD,Left,0,0,0
Jaxson Stauber,CHI,25,G,Left,0,-,-
Ryan Fanti,EDM,24,G,Left,0,-,-
Ville Petman,SEA,24,"C, LW",Left,0,0,0
Alex Beaucage,COL,22,RW,Right,0,0,0
Martin Jones,TOR,34,G,Left,22,-,-
Erik Portillo,LAK,23,G,Left,0,-,-
Oliver Wahlstrom,NYI,24,RW,Right,32,2,4
Raphael Lavoie,EDM,23,"RW, C",Right,7,0,0
Jason Polin,COL,25,RW,Right,7,1,0
Ales Stezka,SEA,27,G,Left,0,-,-
Waltteri Merelä,TBL,25,RW,Right,19,1,0
Karl Henriksson,NYR,23,C,Left,0,0,0
Hardy Häman Aktell,WSH,25,LD,Left,6,0,1
Yan Kuznetsov,CGY,22,LD,Left,1,0,0
Mitchell Gibson,WSH,25,G,Left,0,-,-
Thomas Harley,DAL,22,LD,Left,79,15,32
Nolan Foote,NJD,23,LW,Left,4,1,0
Ville Heinola,WPG,23,LD,Left,0,0,0
Jakob Pelletier,CGY,23,LW,Left,13,1,2
Simon Holmström,NYI,23,RW,Left,75,15,10
Peyton Krebs,BUF,23,"C, LW",Left,80,4,13
Lassi Thomson,OTT,23,RD,Right,0,0,0
Philip Broberg,EDM,23,LD,Left,12,0,2
Moritz Seider,DET,23,RD,Right,82,9,33
Brayden Tracey,ANA,23,LW,Left,0,0,0
Victor Söderström,UTA,23,RD,Right,3,0,0
Philip Tomasino,NSH,22,"LW, RW",Right,41,7,13
Connor McMichael,WSH,23,"LW, C",Left,80,18,15
Keean Washkurak,STL,22,C,Left,0,0,0
Mattias Norlinder,MTL,24,LD,Left,0,0,0
Kim Nousiainen,-,23,LD,Left,0,0,0
